"ID","Nom_complet","year","Date_t1","Date_t","delta_time","death_year","delta_DBH","delta_H","Placette","TWI_mean","delta_Lum","dST_juv","dST_adult","dST_juv_mean","dST_adult_mean","Placette_C.L.","Indice_palmier_superposition_m2","Palm_coverage","DBHt1","DBHt","Statut_growth","Treatment"
"1.10.10.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.09,"1.10.10",4.96155032244596,-0.106323766405963,0,-1.3646033527797,0.0390589896258926,22.6321300989604,"1.10.10",55.0968555358359,55.0968555358359,15,15,0,"Natural_Forest"
"1.10.10.2","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0.11,"1.10.10",4.96155032244596,-0.106323766405963,0,-1.3646033527797,0.0390589896258926,22.6321300989604,"1.10.10",55.0968555358359,55.0968555358359,5,5,0,"Natural_Forest"
"1.10.4.1","Vouacapoua americana",1992,1992,1993,1,NA,0,0.1,"1.10.4",4.86297578811646,-0.00134741230545773,0.878827266582583,0.244563668034498,0.509719814617898,29.8010257443484,"1.10.4",81.1995101881202,81.1995101881202,15,15,0,"Natural_Forest"
"1.10.4.2","Vouacapoua americana",1992,1992,1993,1,NA,0,0,"1.10.4",4.86297578811646,-0.00134741230545773,0.878827266582583,0.244563668034498,0.509719814617898,29.8010257443484,"1.10.4",81.1995101881202,81.1995101881202,15,15,0,"Natural_Forest"
"1.10.5.1","Eperua grandiflora",1992,1992,1993,1,2002,0,0.109075565784427,"1.10.5",5.26676368713379,-0.00870315144233875,0,0.31233228859,0.00390589896258926,28.8025942178087,"1.10.5",39.6909415687987,39.6909415687987,5,5,0,"Natural_Forest"
"1.10.7.1","Sterculia pruriens",1992,1992,1993,1,2002,0,0.159187271062271,"1.10.7",7.26217679977417,-0.00870315144233875,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,15,15,0,"Natural_Forest"
"1.10.7.2","Tachigali melinonii",1992,1992,1993,1,NA,0,0.833333333333333,"1.10.7",7.26217679977417,-0.120303151626113,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,15,15,0,"Natural_Forest"
"1.10.7.3","Iryanthera sagotiana",1992,1992,1993,1,2002,0,0.0856054352728913,"1.10.7",7.26217679977417,-0.00870315144233875,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,5,5,0,"Natural_Forest"
"1.10.7.4","Symphonia globulifera",1992,1992,1993,1,2005,0,0.0846858372456964,"1.10.7",7.26217679977417,-0.00870315144233875,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,5,5,0,"Natural_Forest"
"1.10.7.5","Symphonia globulifera",1992,1992,1993,1,NA,0,0.2,"1.10.7",7.26217679977417,-0.140341011820326,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,5,5,0,"Natural_Forest"
