"ID","Nom_complet","year","Date_t1","Date_t","delta_time","death_year","delta_DBH","delta_H","Placette","TWI_mean","delta_Lum","dST_juv","dST_adult","dST_juv_mean","dST_adult_mean","Placette_C.L.","Indice_palmier_superposition_m2","Palm_coverage","DBHt1","DBHt","Statut_growth","Treatment",".obsID"
"1.4.10.4","Iryanthera hostmannii",1992,1992,1993,1,NA,10,0.5,"1.4.10",4.3797238569325,-0.391713450769155,0.156235958503571,0.381676923576997,-0.295757259611508,1.12768015799019,"1.4.10",40.3956922499228,-0.0649018944695258,45,1.44852242341271,1,"T0",18
"1.4.3.2","Iryanthera hostmannii",1992,1992,1993,1,2008,0,0.0589988442822384,"1.4.3",-0.788473918910285,0.0955131678890884,0.035153090663303,0.358092993333798,-0.676722490854429,1.73652272697671,"1.4.3",15.9355594120097,-0.792025549358899,15,-0.332126086782231,0,"T0",19
"1.4.4.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.0589988442822384,"1.4.4",-0.747646775427778,0.0955131678890884,0.0039058989625893,0.768644752745402,-0.794590186708593,-0.922415492144124,"1.4.4",0,-1.2657401558637,15,-0.332126086782231,0,"T0",20
"1.4.5.1","Virola michelii",1992,1992,1993,1,2013,0,0.128596614728251,"1.4.5",-0.799383119117938,1.54758501009434,0.0351530906633033,0.580508029982401,-0.773542383877492,-0.121334343731699,"1.4.5",2.0086255167007,-1.20602996799654,5,-0.777288214330966,0,"T0",21
"1.4.5.3","Symphonia sp. 1",1992,1992,1993,1,NA,0,0.176666666666667,"1.4.5",-0.799383119117938,0.329776319789376,0.0351530906633033,0.580508029982401,-0.773542383877492,-0.121334343731699,"1.4.5",2.0086255167007,-1.20602996799654,5,-0.777288214330966,0,"T0",22
"1.4.6.3","Iryanthera hostmannii",1992,1992,1993,1,2008,0,0.0589988442822384,"1.4.6",-0.980266307693295,0.0955131678890884,0.10155337302732,-0.3227170979691,-0.531492651319835,0.0397028078212843,"1.4.6",19.2483686309861,-0.693546037280384,5,-0.777288214330966,0,"T0",23
"1.4.7.1","Iryanthera hostmannii",1992,1992,1993,1,2008,0,0.0589988442822384,"1.4.7",0.157756601719222,0.0955131678890884,0.0039058989625893,-0.241777499664501,-0.794590186708593,-1.244692360387,"1.4.7",35.2821747035559,-0.216910863198106,15,-0.332126086782231,0,"T0",24
"1.4.7.2","Iryanthera hostmannii",1992,1992,1993,1,2016,0,0.0589988442822384,"1.4.7",0.157756601719222,0.0955131678890884,0.0039058989625893,-0.241777499664501,-0.794590186708593,-1.244692360387,"1.4.7",35.2821747035559,-0.216910863198106,5,-0.777288214330966,0,"T0",25
"1.5.3.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.0333333333333334,"1.5.3",-0.808219523255924,1.27238959545256,0.035153090663304,0.340503546553499,-0.634626885192228,3.26037014348786,"1.5.3",13.3933139661749,-0.867598597651427,25,0.113036040766503,0,"T0",26
"1.5.3.3","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.101318697123519,"1.5.3",-0.808219523255924,10.537632919516,0.035153090663304,0.340503546553499,-0.634626885192228,3.26037014348786,"1.5.3",13.3933139661749,-0.867598597651427,15,-0.332126086782231,0,"T0",27
"1.5.3.4","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.0666666666666667,"1.5.3",-0.808219523255924,1.27238959545256,0.035153090663304,0.340503546553499,-0.634626885192228,3.26037014348786,"1.5.3",13.3933139661749,-0.867598597651427,15,-0.332126086782231,0,"T0",28
"1.5.4.10","Bocoa prouacensis",1992,1992,1993,1,NA,10,0,"1.5.4",-1.10266614945995,1.24953085901547,1.22254637529044,0.444773787067504,0.371458090134379,1.96307584058968,"1.5.4",8.13566476826963,-1.02389215199311,15,0.113036040766503,1,"T0",29
"1.5.4.11","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.101318697123519,"1.5.4",-1.10266614945995,1.80357125593951,1.22254637529044,0.444773787067504,0.371458090134379,1.96307584058968,"1.5.4",8.13566476826963,-1.02389215199311,15,-0.332126086782231,0,"T0",30
"1.5.4.4","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.0333333333333334,"1.5.4",-1.10266614945995,1.24953085901547,1.22254637529044,0.444773787067504,0.371458090134379,1.96307584058968,"1.5.4",8.13566476826963,-1.02389215199311,15,-0.332126086782231,0,"T0",31
"1.5.4.8","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.101318697123519,"1.5.4",-1.10266614945995,0.0955131678890884,1.22254637529044,0.444773787067504,0.371458090134379,1.96307584058968,"1.5.4",8.13566476826963,-1.02389215199311,5,-0.777288214330966,0,"T0",32
"1.5.4.9","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.101318697123519,"1.5.4",-1.10266614945995,0.0955131678890884,1.22254637529044,0.444773787067504,0.371458090134379,1.96307584058968,"1.5.4",8.13566476826963,-1.02389215199311,5,-0.777288214330966,0,"T0",33
