"ID","Nom_complet","year","Date_t1","Date_t","delta_time","death_year","Statut","delta_DBH","delta_H","Placette","TWI_mean","delta_Lum","dST_juv","dST_adult","dST_juv_mean","dST_adult_mean","Placette_C.L.","Indice_palmier_superposition_m2","Palm_coverage","STjuv_moyenne","ST_adult_moyenne","Treatment","DBHt1","DBHt"
"1.10.10.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0,0.09,"1.10.10",-0.564306867581734,-0.568435408801294,0,-1.3646033527797,-0.796694966991703,-0.553346077282563,"1.10.10",55.0968555358359,0.372117955357692,0.280960147522499,22.6412968743288,"Natural_Forest",15,-0.332126086782231
"1.10.10.2","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0,0.11,"1.10.10",-0.564306867581734,-0.568435408801294,0,-1.3646033527797,-0.796694966991703,-0.553346077282563,"1.10.10",55.0968555358359,0.372117955357692,0.280960147522499,22.6412968743288,"Natural_Forest",5,-0.777288214330966
"1.10.4.1","Vouacapoua americana",1992,1992,1993,1,NA,0,0,0.1,"1.10.4",-0.659778817506565,0.14554186861237,0.878827266582583,0.244563668034498,-0.289442918762179,0.532957445176337,"1.10.4",81.1995101881202,1.14806867397625,1.25802535292335,30.0843199670375,"Natural_Forest",15,-0.332126086782231
"1.10.4.2","Vouacapoua americana",1992,1992,1993,1,NA,0,0,0,"1.10.4",-0.659778817506565,0.14554186861237,0.878827266582583,0.244563668034498,-0.289442918762179,0.532957445176337,"1.10.4",81.1995101881202,1.14806867397625,1.25802535292335,30.0843199670375,"Natural_Forest",15,-0.332126086782231
"1.10.5.1","Eperua grandiflora",1992,1992,1993,1,2002,1,0,0.109075565784427,"1.10.5",-0.268699941634072,0.0955131678890884,0,0.31233228859,-0.834581012087684,0.381665009372525,"1.10.5",39.6909415687987,-0.0858519397714243,0.0041109586581252,30.2450399487461,"Natural_Forest",5,-0.777288214330966
"1.10.7.1","Sterculia pruriens",1992,1992,1993,1,2002,1,0,0.159187271062271,"1.10.7",1.66390853645987,0.0955131678890884,0,0.241045778678401,-0.750389800763282,-1.13556305822501,"1.10.7",34.2657268101302,-0.247126696945612,0.315181061221764,19.1495963752053,"Natural_Forest",15,-0.332126086782231
"1.10.7.2","Tachigali melinonii",1992,1992,1993,1,NA,0,0,0.833333333333333,"1.10.7",1.66390853645987,-0.663513614602228,0,0.241045778678401,-0.750389800763282,-1.13556305822501,"1.10.7",34.2657268101302,-0.247126696945612,0.315181061221764,19.1495963752053,"Natural_Forest",15,-0.332126086782231
"1.10.7.3","Iryanthera sagotiana",1992,1992,1993,1,2002,1,0,0.0856054352728913,"1.10.7",1.66390853645987,0.0955131678890884,0,0.241045778678401,-0.750389800763282,-1.13556305822501,"1.10.7",34.2657268101302,-0.247126696945612,0.315181061221764,19.1495963752053,"Natural_Forest",5,-0.777288214330966
"1.10.7.4","Symphonia globulifera",1992,1992,1993,1,2005,1,0,0.0846858372456964,"1.10.7",1.66390853645987,0.0955131678890884,0,0.241045778678401,-0.750389800763282,-1.13556305822501,"1.10.7",34.2657268101302,-0.247126696945612,0.315181061221764,19.1495963752053,"Natural_Forest",5,-0.777288214330966
"1.10.7.5","Symphonia globulifera",1992,1992,1993,1,NA,0,0,0.2,"1.10.7",1.66390853645987,-0.799797418600246,0,0.241045778678401,-0.750389800763282,-1.13556305822501,"1.10.7",34.2657268101302,-0.247126696945612,0.315181061221764,19.1495963752053,"Natural_Forest",5,-0.777288214330966
"1.10.8.1","Symphonia sp. 1",1992,1992,1993,1,2016,1,0,0.3,"1.10.8",0.231197153852893,-0.242254352235132,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,0.19529167547437,21.3527339664209,"Natural_Forest",15,-0.332126086782231
"1.10.8.2","Virola michelii",1992,1992,1993,1,NA,0,0,0.0833333333333333,"1.10.8",0.231197153852893,-0.221980396478964,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,0.19529167547437,21.3527339664209,"Natural_Forest",5,-0.777288214330966
"1.10.8.3","Recordoxylon speciosum",1992,1992,1993,1,2005,1,0,0.198703110161443,"1.10.8",0.231197153852893,0.0955131678890884,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,0.19529167547437,21.3527339664209,"Natural_Forest",15,-0.332126086782231
"1.10.8.4","Qualea rosea",1992,1992,1993,1,2005,1,0,0.148998103525212,"1.10.8",0.231197153852893,0.0955131678890884,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,0.19529167547437,21.3527339664209,"Natural_Forest",15,-0.332126086782231
"1.10.8.5","Sterculia pruriens",1992,1992,1993,1,NA,0,0,0.346666666666667,"1.10.8",0.231197153852893,-0.221980396478964,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,0.19529167547437,21.3527339664209,"Natural_Forest",15,-0.332126086782231
"1.10.8.6","Virola michelii",1992,1992,1993,1,NA,0,0,0.1,"1.10.8",0.231197153852893,-0.242254352235132,0,0.161372620542,-0.678827271137539,-0.688949576702153,"1.10.8",90.5701678923779,1.42662917582586,0.19529167547437,21.3527339664209,"Natural_Forest",5,-0.777288214330966
"1.10.9.1","Symphonia sp. 1",1992,1992,1993,1,2005,1,0,0.115134598254053,"1.10.9",-0.931938032909208,0.0955131678890884,0,0.505900632518699,-0.834581012087684,-0.280855188621917,"1.10.9",78.8199103207189,1.07733057274741,0.133835439005259,26.97987829689,"Natural_Forest",5,-0.777288214330966
"1.3.10.1","Symphonia sp. 1",1992,1992,1993,1,NA,0,0,0.0666666666666667,"1.3.10",1.31673791934099,-1.27368932928263,0,0.421612003547096,-0.834581012087684,1.19588490570913,"1.3.10",114.731413176768,2.14486783357483,0.0354850452043359,30.6375823661038,"Natural_Forest",5,-0.777288214330966
"1.3.3.1","Sterculia pruriens",1992,1992,1993,1,2002,1,0,0.159187271062271,"1.3.3",-0.920885164713871,0.0955131678890884,0,-1.0518770605819,0.019959782855001,0.332652508773486,"1.3.3",0,-1.2657401558637,1.20180652344163,30.0226088705221,"Natural_Forest",15,-0.332126086782231
"1.3.3.2","Qualea rosea",1992,1992,1993,1,2002,1,0,0.148998103525212,"1.3.3",-0.920885164713871,0.0955131678890884,0,-1.0518770605819,0.019959782855001,0.332652508773486,"1.3.3",0,-1.2657401558637,1.20180652344163,30.0226088705221,"Natural_Forest",5,-0.777288214330966
"1.3.3.3","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,0.05,"1.3.3",-0.920885164713871,-0.158502444963309,0,-1.0518770605819,0.019959782855001,0.332652508773486,"1.3.3",0,-1.2657401558637,1.20180652344163,30.0226088705221,"Natural_Forest",25,0.113036040766503
"1.3.3.4","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0,0.166666666666667,"1.3.3",-0.920885164713871,-0.158502444963309,0,-1.0518770605819,0.019959782855001,0.332652508773486,"1.3.3",0,-1.2657401558637,1.20180652344163,30.0226088705221,"Natural_Forest",65,1.89368455096144
"1.3.4.1","Sterculia pruriens",1992,1992,1993,1,2008,1,0,0.159187271062271,"1.3.4",-1.00881344424292,0.0955131678890884,0.039058989625892,0.7135968201015,-0.527283090753615,-1.29734863465213,"1.3.4",28.783953011779,-0.410082778416917,0.498983215865154,21.6223112349328,"Natural_Forest",15,-0.332126086782231
"1.3.4.2","Iryanthera sagotiana",1992,1992,1993,1,2008,1,0,0.0856054352728913,"1.3.4",-1.00881344424292,0.0955131678890884,0.039058989625892,0.7135968201015,-0.527283090753615,-1.29734863465213,"1.3.4",28.783953011779,-0.410082778416917,0.498983215865154,21.6223112349328,"Natural_Forest",5,-0.777288214330966
"1.3.4.3","Iryanthera sagotiana",1992,1992,1993,1,2005,1,0,0.0856054352728913,"1.3.4",-1.00881344424292,0.0955131678890884,0.039058989625892,0.7135968201015,-0.527283090753615,-1.29734863465213,"1.3.4",28.783953011779,-0.410082778416917,0.498983215865154,21.6223112349328,"Natural_Forest",15,-0.332126086782231
"1.3.4.4","Virola michelii",1992,1992,1993,1,2002,1,0,0.128596614728251,"1.3.4",-1.00881344424292,0.0955131678890884,0.039058989625892,0.7135968201015,-0.527283090753615,-1.29734863465213,"1.3.4",28.783953011779,-0.410082778416917,0.498983215865154,21.6223112349328,"Natural_Forest",5,-0.777288214330966
"1.3.4.6","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,0.0833333333333332,"1.3.4",-1.00881344424292,0.280897840553923,0.039058989625892,0.7135968201015,-0.527283090753615,-1.29734863465213,"1.3.4",28.783953011779,-0.410082778416917,0.498983215865154,21.6223112349328,"Natural_Forest",35,0.558198168315238
