"ID","Nom_complet","year","Date_t1","Date_t","delta_time","death_year","Statut","delta_DBH","delta_H","Placette","TWI_mean","delta_Lum","dST_juv","dST_adult","dST_juv_mean","dST_adult_mean","Placette_C.L.","Indice_palmier_superposition_m2","Palm_coverage","STjuv_moyenne","ST_adult_moyenne","Treatment","DBHt1","DBHt"
"1.10.10.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0,0.09,"1.10.10",4.96155032244596,-0.106323766405963,0,-1.3646033527797,0.0390589896258926,22.6321300989604,"1.10.10",55.0968555358359,55.0968555358359,0.280960147522499,22.6412968743288,"Natural_Forest",15,15
"1.10.10.2","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0,0.11,"1.10.10",4.96155032244596,-0.106323766405963,0,-1.3646033527797,0.0390589896258926,22.6321300989604,"1.10.10",55.0968555358359,55.0968555358359,0.280960147522499,22.6412968743288,"Natural_Forest",5,5
"1.10.4.1","Vouacapoua americana",1992,1992,1993,1,NA,0,0,0.1,"1.10.4",4.86297578811646,-0.00134741230545773,0.878827266582583,0.244563668034498,0.509719814617898,29.8010257443484,"1.10.4",81.1995101881202,81.1995101881202,1.25802535292335,30.0843199670375,"Natural_Forest",15,15
"1.10.4.2","Vouacapoua americana",1992,1992,1993,1,NA,0,0,0,"1.10.4",4.86297578811646,-0.00134741230545773,0.878827266582583,0.244563668034498,0.509719814617898,29.8010257443484,"1.10.4",81.1995101881202,81.1995101881202,1.25802535292335,30.0843199670375,"Natural_Forest",15,15
"1.10.5.1","Eperua grandiflora",1992,1992,1993,1,2002,1,0,0.109075565784427,"1.10.5",5.26676368713379,-0.00870315144233875,0,0.31233228859,0.00390589896258926,28.8025942178087,"1.10.5",39.6909415687987,39.6909415687987,0.0041109586581252,30.2450399487461,"Natural_Forest",5,5
"1.10.7.1","Sterculia pruriens",1992,1992,1993,1,2002,1,0,0.159187271062271,"1.10.7",7.26217679977417,-0.00870315144233875,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,0.315181061221764,19.1495963752053,"Natural_Forest",15,15
"1.10.7.2","Tachigali melinonii",1992,1992,1993,1,NA,0,0,0.833333333333333,"1.10.7",7.26217679977417,-0.120303151626113,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,0.315181061221764,19.1495963752053,"Natural_Forest",15,15
"1.10.7.3","Iryanthera sagotiana",1992,1992,1993,1,2002,1,0,0.0856054352728913,"1.10.7",7.26217679977417,-0.00870315144233875,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,0.315181061221764,19.1495963752053,"Natural_Forest",5,5
"1.10.7.4","Symphonia globulifera",1992,1992,1993,1,2005,1,0,0.0846858372456964,"1.10.7",7.26217679977417,-0.00870315144233875,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,0.315181061221764,19.1495963752053,"Natural_Forest",5,5
"1.10.7.5","Symphonia globulifera",1992,1992,1993,1,NA,0,0,0.2,"1.10.7",7.26217679977417,-0.140341011820326,0,0.241045778678401,0.0820238782143744,18.7898772726955,"1.10.7",34.2657268101302,34.2657268101302,0.315181061221764,19.1495963752053,"Natural_Forest",5,5
"1.10.8.1","Symphonia sp. 1",1992,1992,1993,1,2016,1,0,0.3,"1.10.8",5.78290610843235,-0.0583652400239985,0,0.161372620542,0.148424160578392,21.737235333004,"1.10.8",90.5701678923779,90.5701678923779,0.19529167547437,21.3527339664209,"Natural_Forest",15,15
"1.10.8.2","Virola michelii",1992,1992,1993,1,NA,0,0,0.0833333333333333,"1.10.8",5.78290610843235,-0.0553843525002569,0,0.161372620542,0.148424160578392,21.737235333004,"1.10.8",90.5701678923779,90.5701678923779,0.19529167547437,21.3527339664209,"Natural_Forest",5,5
"1.10.8.3","Recordoxylon speciosum",1992,1992,1993,1,2005,1,0,0.198703110161443,"1.10.8",5.78290610843235,-0.00870315144233875,0,0.161372620542,0.148424160578392,21.737235333004,"1.10.8",90.5701678923779,90.5701678923779,0.19529167547437,21.3527339664209,"Natural_Forest",15,15
"1.10.8.4","Qualea rosea",1992,1992,1993,1,2005,1,0,0.148998103525212,"1.10.8",5.78290610843235,-0.00870315144233875,0,0.161372620542,0.148424160578392,21.737235333004,"1.10.8",90.5701678923779,90.5701678923779,0.19529167547437,21.3527339664209,"Natural_Forest",15,15
"1.10.8.5","Sterculia pruriens",1992,1992,1993,1,NA,0,0,0.346666666666667,"1.10.8",5.78290610843235,-0.0553843525002569,0,0.161372620542,0.148424160578392,21.737235333004,"1.10.8",90.5701678923779,90.5701678923779,0.19529167547437,21.3527339664209,"Natural_Forest",15,15
"1.10.8.6","Virola michelii",1992,1992,1993,1,NA,0,0,0.1,"1.10.8",5.78290610843235,-0.0583652400239985,0,0.161372620542,0.148424160578392,21.737235333004,"1.10.8",90.5701678923779,90.5701678923779,0.19529167547437,21.3527339664209,"Natural_Forest",5,5
"1.10.9.1","Symphonia sp. 1",1992,1992,1993,1,2005,1,0,0.115134598254053,"1.10.9",4.58197212219238,-0.00870315144233875,0,0.505900632518699,0.00390589896258926,24.4303924673871,"1.10.9",78.8199103207189,78.8199103207189,0.133835439005259,26.97987829689,"Natural_Forest",5,5
"1.3.10.1","Symphonia sp. 1",1992,1992,1993,1,NA,0,0,0.0666666666666667,"1.3.10",6.90372406111823,-0.210017521976736,0,0.421612003547096,0.00390589896258926,34.175915162238,"1.3.10",114.731413176768,114.731413176768,0.0354850452043359,30.6375823661038,"Natural_Forest",5,5
"1.3.3.1","Sterculia pruriens",1992,1992,1993,1,2002,1,0,0.159187271062271,"1.3.3",4.59338417920199,-0.00870315144233875,0,-1.0518770605819,0.796803388368209,28.4791436399088,"1.3.3",0,0,1.20180652344163,30.0226088705221,"Natural_Forest",15,15
"1.3.3.2","Qualea rosea",1992,1992,1993,1,2002,1,0,0.148998103525212,"1.3.3",4.59338417920199,-0.00870315144233875,0,-1.0518770605819,0.796803388368209,28.4791436399088,"1.3.3",0,0,1.20180652344163,30.0226088705221,"Natural_Forest",5,5
"1.3.3.3","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,0.05,"1.3.3",4.59338417920199,-0.0460511648391301,0,-1.0518770605819,0.796803388368209,28.4791436399088,"1.3.3",0,0,1.20180652344163,30.0226088705221,"Natural_Forest",25,25
"1.3.3.4","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0,0.166666666666667,"1.3.3",4.59338417920199,-0.0460511648391301,0,-1.0518770605819,0.796803388368209,28.4791436399088,"1.3.3",0,0,1.20180652344163,30.0226088705221,"Natural_Forest",65,65
"1.3.4.1","Sterculia pruriens",1992,1992,1993,1,2008,1,0,0.159187271062271,"1.3.4",4.50259846448898,-0.00870315144233875,0.039058989625892,0.7135968201015,0.289036523231605,17.7221978531262,"1.3.4",28.783953011779,28.783953011779,0.498983215865154,21.6223112349328,"Natural_Forest",15,15
"1.3.4.2","Iryanthera sagotiana",1992,1992,1993,1,2008,1,0,0.0856054352728913,"1.3.4",4.50259846448898,-0.00870315144233875,0.039058989625892,0.7135968201015,0.289036523231605,17.7221978531262,"1.3.4",28.783953011779,28.783953011779,0.498983215865154,21.6223112349328,"Natural_Forest",5,5
"1.3.4.3","Iryanthera sagotiana",1992,1992,1993,1,2005,1,0,0.0856054352728913,"1.3.4",4.50259846448898,-0.00870315144233875,0.039058989625892,0.7135968201015,0.289036523231605,17.7221978531262,"1.3.4",28.783953011779,28.783953011779,0.498983215865154,21.6223112349328,"Natural_Forest",15,15
"1.3.4.4","Virola michelii",1992,1992,1993,1,2002,1,0,0.128596614728251,"1.3.4",4.50259846448898,-0.00870315144233875,0.039058989625892,0.7135968201015,0.289036523231605,17.7221978531262,"1.3.4",28.783953011779,28.783953011779,0.498983215865154,21.6223112349328,"Natural_Forest",5,5
"1.3.4.6","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,0.0833333333333332,"1.3.4",4.50259846448898,0.0185540283841203,0.039058989625892,0.7135968201015,0.289036523231605,17.7221978531262,"1.3.4",28.783953011779,28.783953011779,0.498983215865154,21.6223112349328,"Natural_Forest",35,35
"1.3.5.1","Qualea rosea",1992,1992,1993,1,2013,1,0,0.148998103525212,"1.3.5",5.18143529891968,0.517581232622659,0.035153090663303,0.358585497843599,0.529249309430845,21.1206302403389,"1.3.5",0,0,0.460569817006094,22.0240905567833,"Natural_Forest",45,45
"1.3.5.2","Carapa surinamensis",1992,1992,1993,1,2002,1,0,0.258734729493892,"1.3.5",5.18143529891968,-0.00870315144233875,0.035153090663303,0.358585497843599,0.529249309430845,21.1206302403389,"1.3.5",0,0,0.460569817006094,22.0240905567833,"Natural_Forest",35,35
"1.3.5.3","Qualea rosea",1992,1992,1993,1,NA,0,0,0.11,"1.3.5",5.18143529891968,0.346751323692613,0.035153090663303,0.358585497843599,0.529249309430845,21.1206302403389,"1.3.5",0,0,0.460569817006094,22.0240905567833,"Natural_Forest",5,5
"1.3.6.2","Qualea rosea",1992,1992,1993,1,2002,1,0,0.148998103525212,"1.3.6",5.48913272221883,-0.00870315144233875,0.035153090663304,0.686269855583497,0.220683291386293,20.0439344703498,"1.3.6",24.1660317179982,24.1660317179982,0.607767524521602,23.7320356188911,"Natural_Forest",5,5
"1.3.6.3","Qualea rosea",1992,1992,1993,1,2013,1,10,0.148998103525212,"1.3.6",5.48913272221883,0,0.035153090663304,0.686269855583497,0.220683291386293,20.0439344703498,"1.3.6",24.1660317179982,24.1660317179982,0.607767524521602,23.7320356188911,"Natural_Forest",5,15
"1.3.6.4","Qualea rosea",1992,1992,1993,1,NA,0,0,0.05,"1.3.6",5.48913272221883,0.0483177508959604,0.035153090663304,0.686269855583497,0.220683291386293,20.0439344703498,"1.3.6",24.1660317179982,24.1660317179982,0.607767524521602,23.7320356188911,"Natural_Forest",5,5
"1.3.6.6","Carapa surinamensis",1992,1992,1993,1,NA,0,0,0.416666666666667,"1.3.6",5.48913272221883,0.0483177508959604,0.035153090663304,0.686269855583497,0.220683291386293,20.0439344703498,"1.3.6",24.1660317179982,24.1660317179982,0.607767524521602,23.7320356188911,"Natural_Forest",35,35
"1.3.7.1","Recordoxylon speciosum",1992,1992,1993,1,1995,1,0,0.198703110161443,"1.3.7",12.1200122833252,-0.00870315144233875,0,-1.0307134382157,0.0351530906633033,15.394262714857,"1.3.7",38.0358013813821,38.0358013813821,0.0351530906633033,18.2293322797999,"Natural_Forest",15,15
"1.3.8.1","Symphonia globulifera",1992,1992,1993,1,NA,0,0,0.08,"1.3.8",8.65633487701416,-0.0715511365486518,0,0.532327017361602,0.0351530906633033,31.769369268418,"1.3.8",62.1360885230934,62.1360885230934,0.0922615948946284,30.828199482294,"Natural_Forest",15,15
"1.3.9.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,0.0166666666666666,"1.3.9",5.60759353637695,-0.18797745787185,0,0.490815922959801,0.00390589896258926,32.1436023381175,"1.3.9",8.52716220224284,8.52716220224284,0.0355149712257125,32.5946923548083,"Natural_Forest",5,5
"1.4.10.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,0,"1.4.10",10.0662488937378,-0.0803402688485638,0.156235958503571,0.381676923576997,0.503860966174015,33.7258082549067,"1.4.10",40.3956922499228,40.3956922499228,1.2143719535902,33.0821693082647,"Natural_Forest",15,15
"1.4.10.2","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,0.0166666666666666,"1.4.10",10.0662488937378,-0.0803402688485638,0.156235958503571,0.381676923576997,0.503860966174015,33.7258082549067,"1.4.10",40.3956922499228,40.3956922499228,1.2143719535902,33.0821693082647,"Natural_Forest",15,15
"1.4.10.3","Symphonia sp. 1",1992,1992,1993,1,NA,0,0,0.04,"1.4.10",10.0662488937378,-0.0803402688485638,0.156235958503571,0.381676923576997,0.503860966174015,33.7258082549067,"1.4.10",40.3956922499228,40.3956922499228,1.2143719535902,33.0821693082647,"Natural_Forest",15,15
"1.4.10.4","Iryanthera hostmannii",1992,1992,1993,1,NA,0,10,0.5,"1.4.10",10.0662488937378,-0.0803402688485638,0.156235958503571,0.381676923576997,0.503860966174015,33.7258082549067,"1.4.10",40.3956922499228,40.3956922499228,1.2143719535902,33.0821693082647,"Natural_Forest",45,55
"1.4.10.5","Symphonia globulifera",1992,1992,1993,1,NA,0,0,0.05,"1.4.10",10.0662488937378,-0.0803402688485638,0.156235958503571,0.381676923576997,0.503860966174015,33.7258082549067,"1.4.10",40.3956922499228,40.3956922499228,1.2143719535902,33.0821693082647,"Natural_Forest",5,5
"1.4.3.1","Iryanthera sagotiana",1992,1992,1993,1,2002,1,0,0.0856054352728913,"1.4.3",4.73009843826294,-0.00870315144233875,0.035153090663303,0.358092993333798,0.150377110059687,37.7437726187288,"1.4.3",15.9355594120097,15.9355594120097,0.0851011407120504,40.4045904294815,"Natural_Forest",25,25
"1.4.3.2","Iryanthera hostmannii",1992,1992,1993,1,2008,1,0,0.0589988442822384,"1.4.3",4.73009843826294,-0.00870315144233875,0.035153090663303,0.358092993333798,0.150377110059687,37.7437726187288,"1.4.3",15.9355594120097,15.9355594120097,0.0851011407120504,40.4045904294815,"Natural_Forest",15,15
"1.4.4.1","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0,0.0589988442822384,"1.4.4",4.77225235530308,-0.00870315144233875,0.0039058989625893,0.768644752745402,0.0410119391071872,20.1965123675017,"1.4.4",0,0,0.0996484949092708,22.7130988253888,"Natural_Forest",15,15
"1.4.4.2","Iryanthera sagotiana",1992,1992,1993,1,2002,1,0,0.0856054352728913,"1.4.4",4.77225235530308,-0.00870315144233875,0.0039058989625893,0.768644752745402,0.0410119391071872,20.1965123675017,"1.4.4",0,0,0.0996484949092708,22.7130988253888,"Natural_Forest",5,5
"1.4.5.1","Virola michelii",1992,1992,1993,1,2013,1,0,0.128596614728251,"1.4.5",4.71883471806844,0.204795530811095,0.0351530906633033,0.580508029982401,0.0605414339201335,25.4831261340271,"1.4.5",2.0086255167007,2.0086255167007,0.095581141707164,28.741427198061,"Natural_Forest",5,5
"1.4.5.2","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0,0.166666666666667,"1.4.5",4.71883471806844,0.0257406500126155,0.0351530906633033,0.580508029982401,0.0605414339201335,25.4831261340271,"1.4.5",2.0086255167007,2.0086255167007,0.095581141707164,28.741427198061,"Natural_Forest",15,15
"1.4.5.3","Symphonia sp. 1",1992,1992,1993,1,NA,0,0,0.176666666666667,"1.4.5",4.71883471806844,0.0257406500126155,0.0351530906633033,0.580508029982401,0.0605414339201335,25.4831261340271,"1.4.5",2.0086255167007,2.0086255167007,0.095581141707164,28.741427198061,"Natural_Forest",5,5
"1.4.6.1","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0,0.05,"1.4.6",4.53207330703735,0.047806416720838,0.10155337302732,-0.3227170979691,0.285130624269016,26.5458664369405,"1.4.6",19.2483686309861,19.2483686309861,0.758217991573413,27.9904473156438,"Natural_Forest",25,25
"1.4.6.2","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0,0.0666666666666667,"1.4.6",4.53207330703735,0.047806416720838,0.10155337302732,-0.3227170979691,0.285130624269016,26.5458664369405,"1.4.6",19.2483686309861,19.2483686309861,0.758217991573413,27.9904473156438,"Natural_Forest",25,25
"1.4.6.3","Iryanthera hostmannii",1992,1992,1993,1,2008,1,0,0.0589988442822384,"1.4.6",4.53207330703735,-0.00870315144233875,0.10155337302732,-0.3227170979691,0.285130624269016,26.5458664369405,"1.4.6",19.2483686309861,19.2483686309861,0.758217991573413,27.9904473156438,"Natural_Forest",5,5
"1.4.6.4","Iryanthera sagotiana",1992,1992,1993,1,NA,0,0,0.233333333333333,"1.4.6",4.53207330703735,0.047806416720838,0.10155337302732,-0.3227170979691,0.285130624269016,26.5458664369405,"1.4.6",19.2483686309861,19.2483686309861,0.758217991573413,27.9904473156438,"Natural_Forest",15,15
"1.4.7.1","Iryanthera hostmannii",1992,1992,1993,1,2008,1,0,0.0589988442822384,"1.4.7",5.70707893371582,-0.00870315144233875,0.0039058989625893,-0.241777499664501,0.0410119391071872,18.0696949637194,"1.4.7",35.2821747035559,35.2821747035559,0.020406638637076,19.6674938547217,"Natural_Forest",15,15
"1.4.7.2","Iryanthera hostmannii",1992,1992,1993,1,2016,1,0,0.0589988442822384,"1.4.7",5.70707893371582,-0.00870315144233875,0.0039058989625893,-0.241777499664501,0.0410119391071872,18.0696949637194,"1.4.7",35.2821747035559,35.2821747035559,0.020406638637076,19.6674938547217,"Natural_Forest",5,5
"1.4.9.2","Symphonia globulifera",1992,1992,1993,1,NA,0,0,0.0666666666666667,"1.4.9",10.2901906967163,0.0105020391085051,0,0.609214007127999,0.00390589896258926,21.3167930276678,"1.4.9",19.8266107969393,19.8266107969393,0.021029945899425,25.7304593503588,"Natural_Forest",5,5
"1.5.3.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0,0.0333333333333334,"1.5.3",4.70971115430196,0.164333442999394,0.035153090663304,0.340503546553499,0.189436099685579,47.8001729549211,"1.5.3",13.3933139661749,13.3933139661749,0.251948475378744,50.6034896283892,"Natural_Forest",25,25
"1.5.3.2","Vouacapoua americana",1992,1992,1993,1,NA,0,0,0.05,"1.5.3",4.70971115430196,0.164333442999394,0.035153090663304,0.340503546553499,0.189436099685579,47.8001729549211,"1.5.3",13.3933139661749,13.3933139661749,0.251948475378744,50.6034896283892,"Natural_Forest",5,5
"1.5.3.3","Bocoa prouacensis",1992,1992,1993,1,NA,0,0,0.101318697123519,"1.5.3",4.70971115430196,1.52660573762692,0.035153090663304,0.340503546553499,0.189436099685579,47.8001729549211,"1.5.3",13.3933139661749,13.3933139661749,0.251948475378744,50.6034896283892,"Natural_Forest",15,15
"1.5.3.4","Bocoa prouacensis",1992,1992,1993,1,NA,0,0,0.0666666666666667,"1.5.3",4.70971115430196,0.164333442999394,0.035153090663304,0.340503546553499,0.189436099685579,47.8001729549211,"1.5.3",13.3933139661749,13.3933139661749,0.251948475378744,50.6034896283892,"Natural_Forest",15,15
"1.5.4.1","Iryanthera sagotiana",1992,1992,1993,1,2013,1,10,0.0856054352728913,"1.5.4",4.40569579601288,1.21653058323237,1.22254637529044,0.444773787067504,1.12294595174441,39.2388755950616,"1.5.4",8.13566476826963,8.13566476826963,1.89129641338345,40.1824602011552,"Natural_Forest",5,15
"1.5.4.10","Bocoa prouacensis",1992,1992,1993,1,NA,0,10,0,"1.5.4",4.40569579601288,0.160972514176557,1.22254637529044,0.444773787067504,1.12294595174441,39.2388755950616,"1.5.4",8.13566476826963,8.13566476826963,1.89129641338345,40.1824602011552,"Natural_Forest",15,25
